"Program","Site","Start","End","lat","lon","Address","Num.Participants","Description","program_type","for_adults","Total.Service.Hours","Street.Address","City","State","Zip.Code","Link.to.Google.Map"
"Creative Coding - Storytelling","Gallegos Elementary School","December 11, 2018 4:00pm","December 11, 2018 6:00pm",29.733125,-95.293804,"7415 Harrisburg Blvd Houston TX 77011",NA,"Create and share your own digital stories! Use the computer to design your own stories, create and share your own animations, and learn how technology is used in the film and media industry!
Bring your friends! No previous computer experience is necessary. Have your friends join too - the Creative Coding Storytelling club is social and fun!","Coding and the Arts",FALSE,"2:00","7415 Harrisburg Blvd","Houston","TX",77011,"https://maps.google.com/maps?hl=en&q=Gallegos+Elementary+School+7415+Harrisburg+Blvd,++Houston+TX+77011"
"Creative Coding - Storytelling","Gallegos Elementary School","December 3, 2018 4:00pm","December 3, 2018 6:00pm",29.733125,-95.293804,"7415 Harrisburg Blvd Houston TX 77011",NA,"Create and share your own digital stories! Use the computer to design your own stories, create and share your own animations, and learn how technology is used in the film and media industry!
Bring your friends! No previous computer experience is necessary. Have your friends join too - the Creative Coding Storytelling club is social and fun!","Coding and the Arts",FALSE,"2:00","7415 Harrisburg Blvd","Houston","TX",77011,"https://maps.google.com/maps?hl=en&q=Gallegos+Elementary+School+7415+Harrisburg+Blvd,++Houston+TX+77011"
"Creative Coding - Storytelling","Gallegos Elementary School","November 26, 2018 4:00pm","November 26, 2018 6:00pm",29.733125,-95.293804,"7415 Harrisburg Blvd Houston TX 77011",NA,"Create and share your own digital stories! Use the computer to design your own stories, create and share your own animations, and learn how technology is used in the film and media industry!
Bring your friends! No previous computer experience is necessary. Have your friends join too - the Creative Coding Storytelling club is social and fun!","Coding and the Arts",FALSE,"2:00","7415 Harrisburg Blvd","Houston","TX",77011,"https://maps.google.com/maps?hl=en&q=Gallegos+Elementary+School+7415+Harrisburg+Blvd,++Houston+TX+77011"
"Creative Coding - Storytelling","Gallegos Elementary School","December 17, 2018 4:00pm","December 17, 2018 6:00pm",29.733125,-95.293804,"7415 Harrisburg Blvd Houston TX 77011",NA,"Create and share your own digital stories! Use the computer to design your own stories, create and share your own animations, and learn how technology is used in the film and media industry!
Bring your friends! No previous computer experience is necessary. Have your friends join too - the Creative Coding Storytelling club is social and fun!","Coding and the Arts",FALSE,"2:00","7415 Harrisburg Blvd","Houston","TX",77011,"https://maps.google.com/maps?hl=en&q=Gallegos+Elementary+School+7415+Harrisburg+Blvd,++Houston+TX+77011"
"Creative Coding - Storytelling","Gallegos Elementary School","November 27, 2018 4:00pm","November 27, 2018 6:00pm",29.733125,-95.293804,"7415 Harrisburg Blvd Houston TX 77011",NA,"Create and share your own digital stories! Use the computer to design your own stories, create and share your own animations, and learn how technology is used in the film and media industry!
Bring your friends! No previous computer experience is necessary. Have your friends join too - the Creative Coding Storytelling club is social and fun!","Coding and the Arts",FALSE,"2:00","7415 Harrisburg Blvd","Houston","TX",77011,"https://maps.google.com/maps?hl=en&q=Gallegos+Elementary+School+7415+Harrisburg+Blvd,++Houston+TX+77011"
"Creative Coding - Storytelling","Gallegos Elementary School","October 8, 2018 4:30pm","October 8, 2018 6:00pm",29.733125,-95.293804,"7415 Harrisburg Blvd Houston TX 77011",21,"Create and share your own digital stories! Use the computer to design your own stories, create and share your own animations, and learn how technology is used in the film and media industry!
Bring your friends! No previous computer experience is necessary. Have your friends join too - the Creative Coding Storytelling club is social and fun!","Coding and the Arts",FALSE,"1:30","7415 Harrisburg Blvd","Houston","TX",77011,"https://maps.google.com/maps?hl=en&q=Gallegos+Elementary+School+7415+Harrisburg+Blvd,++Houston+TX+77011"
"Creative Coding - Storytelling","Gallegos Elementary School","October 30, 2018 4:00pm","October 30, 2018 6:00pm",29.733125,-95.293804,"7415 Harrisburg Blvd Houston TX 77011",NA,"Create and share your own digital stories! Use the computer to design your own stories, create and share your own animations, and learn how technology is used in the film and media industry!
Bring your friends! No previous computer experience is necessary. Have your friends join too - the Creative Coding Storytelling club is social and fun!","Coding and the Arts",FALSE,"2:00","7415 Harrisburg Blvd","Houston","TX",77011,"https://maps.google.com/maps?hl=en&q=Gallegos+Elementary+School+7415+Harrisburg+Blvd,++Houston+TX+77011"
"Creative Coding - Storytelling","Gallegos Elementary School","October 22, 2018 4:00pm","October 22, 2018 6:00pm",29.733125,-95.293804,"7415 Harrisburg Blvd Houston TX 77011",NA,"Create and share your own digital stories! Use the computer to design your own stories, create and share your own animations, and learn how technology is used in the film and media industry!
Bring your friends! No previous computer experience is necessary. Have your friends join too - the Creative Coding Storytelling club is social and fun!","Coding and the Arts",FALSE,"2:00","7415 Harrisburg Blvd","Houston","TX",77011,"https://maps.google.com/maps?hl=en&q=Gallegos+Elementary+School+7415+Harrisburg+Blvd,++Houston+TX+77011"
"Creative Coding - Storytelling","Gallegos Elementary School","October 29, 2018 4:00pm","October 29, 2018 6:00pm",29.733125,-95.293804,"7415 Harrisburg Blvd Houston TX 77011",NA,"Create and share your own digital stories! Use the computer to design your own stories, create and share your own animations, and learn how technology is used in the film and media industry!
Bring your friends! No previous computer experience is necessary. Have your friends join too - the Creative Coding Storytelling club is social and fun!","Coding and the Arts",FALSE,"2:00","7415 Harrisburg Blvd","Houston","TX",77011,"https://maps.google.com/maps?hl=en&q=Gallegos+Elementary+School+7415+Harrisburg+Blvd,++Houston+TX+77011"
"Creative Coding - Storytelling","Gallegos Elementary School","November 12, 2018 4:00pm","November 12, 2018 6:00pm",29.733125,-95.293804,"7415 Harrisburg Blvd Houston TX 77011",NA,"Create and share your own digital stories! Use the computer to design your own stories, create and share your own animations, and learn how technology is used in the film and media industry!
Bring your friends! No previous computer experience is necessary. Have your friends join too - the Creative Coding Storytelling club is social and fun!","Coding and the Arts",FALSE,"2:00","7415 Harrisburg Blvd","Houston","TX",77011,"https://maps.google.com/maps?hl=en&q=Gallegos+Elementary+School+7415+Harrisburg+Blvd,++Houston+TX+77011"
"Creative Coding - Storytelling","Gallegos Elementary School","December 18, 2018 4:00pm","December 18, 2018 6:00pm",29.733125,-95.293804,"7415 Harrisburg Blvd Houston TX 77011",NA,"Create and share your own digital stories! Use the computer to design your own stories, create and share your own animations, and learn how technology is used in the film and media industry!
Bring your friends! No previous computer experience is necessary. Have your friends join too - the Creative Coding Storytelling club is social and fun!","Coding and the Arts",FALSE,"2:00","7415 Harrisburg Blvd","Houston","TX",77011,"https://maps.google.com/maps?hl=en&q=Gallegos+Elementary+School+7415+Harrisburg+Blvd,++Houston+TX+77011"
"Youth Hackathon","George R Brown Convention Center","October 13, 2018 10:00am","October 14, 2018 3:00pm",29.752943,-95.358202,"1001 Avenida De Las Americas Houston TX 77010",80,"How might we improve our community with the makers movement? Young makers form teams to learn maker skills then work together to tackle real-world problems such as air quality monitoring, information security, and animal rescue.","Invent to Learn",FALSE,"29:00","1001 Avenida De Las Americas","Houston","TX",77010,"https://maps.google.com/maps?hl=en&q=George+R+Brown+Convention+Center+1001+Avenida+De+Las+Americas,++Houston+TX+77010"
"ASCII Art","Heights Neighborhood Library","June 28, 2017 2:00pm","June 28, 2017 3:30pm",29.79441,-95.397685,"1302 Heights Blvd Houston TX 77008",8,"Students will be guided through a program in Python or JavaScript that converts photos and cartoon images to ASCII art, images made purely from text. Along the way, they’ll learn a little about pixels, how computers manipulate images, and using loops to code repetitive tasks. At the end of class, students will have their ASCII art printed out to take home.","Coding and the Arts",FALSE,"1:30","1302 Heights Blvd","Houston","TX",77008,"https://maps.google.com/maps?hl=en&q=Heights+Neighborhood+Library+1302+Heights+Blvd,++Houston+TX+77008"
"ASCII Art","Heights Neighborhood Library","June 13, 2018 4:00pm","June 13, 2018 5:00pm",29.79441,-95.397685,"1302 Heights Blvd Houston TX 77008",4,"Students will be guided through a program in Python or JavaScript that converts photos and cartoon images to ASCII art, images made purely from text. Along the way, they’ll learn a little about pixels, how computers manipulate images, and using loops to code repetitive tasks. At the end of class, students will have their ASCII art printed out to take home.","Coding and the Arts",FALSE,"1:00","1302 Heights Blvd","Houston","TX",77008,"https://maps.google.com/maps?hl=en&q=Heights+Neighborhood+Library+1302+Heights+Blvd,++Houston+TX+77008"
"ASCII Art","Henington-Alief Regional Library","June 28, 2018 1:30pm","June 28, 2018 2:30pm",29.69201,-95.587543,"7979 S Kirkwood Rd Houston TX 77072",7,"Students will be guided through a program in Python or JavaScript that converts photos and cartoon images to ASCII art, images made purely from text. Along the way, they’ll learn a little about pixels, how computers manipulate images, and using loops to code repetitive tasks. At the end of class, students will have their ASCII art printed out to take home.","Coding and the Arts",FALSE,"1:00","7979 S Kirkwood Rd","Houston","TX",77072,"https://maps.google.com/maps?hl=en&q=Henington-Alief+Regional+Library+7979+S+Kirkwood+Rd,++Houston+TX+77072"
"Robot Expo with Black Girls Code","Houston Community College - Southeast Campus","September 15, 2018 9:00am","September 15, 2018 4:00pm",29.704255,-95.297417,"6815 Rustic St Houston TX 77087",69,"","The Ripple Effect",FALSE,"7:00","6815 Rustic St","Houston","TX",77087,"https://maps.google.com/maps?hl=en&q=Houston+Community+College+-+Southeast+Campus+6815+Rustic+St,++Houston+TX+77087"
"Mentorship at Inventathon","Houston Community College - Stafford Campus","September 22, 2018 10:00am","September 23, 2018 4:00pm",29.610694,-95.564473,"13622 Stafford Rd Houston TX 77477",60,"","Invent to Learn",FALSE,"30:00","13622 Stafford Rd","Houston","TX",77477,"https://maps.google.com/maps?hl=en&q=Houston+Community+College+-+Stafford+Campus+13622+Stafford+Rd,++Houston+TX+77477"
"Invent to Learn at IDEAS Academy","Houston Community College - West Houston Institute","October 19, 2018 9:00am","October 19, 2018 2:00pm",29.736211,-95.576075,"2811 Hayes Rd Houston TX 77082",26,"The Invent to Learn program at HCC West Houston Institute builds the creative and maker capacity of students in IDEAS Academy.  Students are empowered to imagine innovative solutions based on their intent and purpose through project-based learning.","Invent to Learn",FALSE,"5:00","2811 Hayes Rd","Houston","TX",77082,"https://maps.google.com/maps?hl=en&q=Houston+Community+College+-+West+Houston+Institute+2811+Hayes+Rd,++Houston+TX+77082"
